2026-03-31 12:45:57 | INFO | train | ==================================================
2026-03-31 12:45:57 | INFO | train | Starting training pipeline
2026-03-31 12:45:57 | INFO | train | ==================================================
2026-03-31 12:57:30 | INFO | train | Baseline CNN training complete.
2026-03-31 13:08:17 | INFO | train | Transfer Learning training complete.
2026-03-31 13:13:09 | INFO | train | Fine-Tuned training complete.
2026-03-31 15:59:57 | INFO | train | ==================================================
2026-03-31 15:59:57 | INFO | train | Starting full training pipeline
2026-03-31 15:59:57 | INFO | train | ==================================================
2026-03-31 16:11:00 | INFO | train | Baseline CNN training complete.
2026-03-31 16:22:00 | INFO | train | Transfer Learning training complete.
2026-03-31 16:26:58 | INFO | train | Fine-Tuned training complete.
2026-03-31 16:43:07 | INFO | train | ==================================================
2026-03-31 16:43:07 | INFO | train | Starting full training pipeline
2026-03-31 16:43:07 | INFO | train | ==================================================
2026-03-31 16:53:37 | INFO | train | Baseline CNN training complete.
2026-03-31 17:04:24 | INFO | train | Transfer Learning training complete.
2026-03-31 17:09:20 | INFO | train | Fine-Tuned training complete.
2026-03-31 17:09:57 | INFO | train |   EfficientNet weights saved (val_acc=0.2500)
2026-03-31 17:12:19 | INFO | train | Best EfficientNet weights restored.
2026-03-31 17:36:33 | INFO | train | ==================================================
2026-03-31 17:36:33 | INFO | train | Starting full training pipeline
2026-03-31 17:36:33 | INFO | train | ==================================================
2026-03-31 17:47:05 | INFO | train | Baseline CNN training complete.
2026-03-31 17:54:34 | INFO | train | Transfer Learning training complete.
2026-03-31 18:03:34 | INFO | train | Fine-Tuned training complete.
2026-03-31 18:04:11 | INFO | train |   EfficientNet weights saved (val_acc=0.2500)
2026-03-31 18:06:31 | INFO | train | Best EfficientNet weights restored.
2026-03-31 18:06:49 | INFO | train | EfficientNetB0 training complete.
2026-03-31 18:43:24 | INFO | train | Optuna best val_accuracy : 0.8446
2026-03-31 18:43:24 | INFO | train | Optuna best params       : {'filters_1': 64, 'filters_2': 128, 'filters_3': 128, 'dense_units': 256, 'dropout': 0.41542144036132356, 'lr': 0.00011919711923710529}
2026-03-31 18:56:54 | INFO | train | Optuna Best CNN training complete.
2026-03-31 18:56:54 | INFO | train | 
=============================================
2026-03-31 18:56:54 | INFO | train | Model                        Val Acc
2026-03-31 18:56:54 | INFO | train | =============================================
2026-03-31 18:56:54 | INFO | train | Baseline CNN                  0.9045
2026-03-31 18:56:54 | INFO | train | Transfer Learning             0.9250
2026-03-31 18:56:54 | INFO | train | EfficientNetB0                0.2500
2026-03-31 18:56:54 | INFO | train | Optuna Best CNN               0.9089
2026-03-31 18:56:54 | INFO | train | =============================================
2026-03-31 19:32:15 | INFO | train | Training pipeline complete.
